frame,cell_label,area,eccentricity,solidity,extent,aspect_ratio,n_defects,max_defect_depth_ratio
5,6,1900.0,0.5904,1.0053,0.7486,1.239,4,0.0727
5,7,2692.0,0.8299,0.9446,0.7225,1.7926,6,0.3997
5,9,3147.0,0.8894,0.9386,0.5173,2.1878,8,0.2454
5,10,2280.0,0.6125,0.9702,0.6985,1.2651,3,0.2134
5,11,2810.0,0.5926,1.0061,0.7626,1.2414,1,0.1377
5,12,2801.0,0.8437,0.9521,0.6484,1.8629,4,0.1795
5,13,3542.0,0.8112,0.974,0.727,1.7101,2,0.2037
5,14,2804.0,0.7438,0.9619,0.6859,1.4961,3,0.1948
5,15,3812.0,0.7548,0.9722,0.7233,1.5245,2,0.1795
5,16,1904.0,0.4628,1.0122,0.7644,1.1281,2,0.1182
5,17,4100.0,0.8085,0.9685,0.7009,1.6991,2,0.2165
5,18,3294.0,0.7863,0.9249,0.6043,1.6186,5,0.2763
5,19,2496.0,0.589,1.0081,0.7619,1.2374,2,0.0617
5,20,4048.0,0.8394,0.9704,0.7299,1.84,2,0.2302
5,21,2360.0,0.5831,0.9937,0.7165,1.231,1,0.1814
5,22,2542.0,0.7788,0.894,0.6361,1.5941,5,0.7221
5,23,2757.0,0.8225,0.9495,0.5891,1.758,4,0.1929
5,24,2756.0,0.8129,0.9773,0.7018,1.7171,3,0.162
5,25,2149.0,0.5728,0.9944,0.7588,1.22,2,0.1731
6,2,1561.0,0.5462,0.9836,0.7079,1.1938,4,0.1784
6,3,3734.0,0.8621,0.9551,0.6286,1.9733,3,0.2833
6,4,1729.0,0.6655,0.9815,0.7057,1.3398,5,0.1409
6,5,397.0,0.9149,0.5347,0.3297,2.4774,6,1.1436
6,6,2369.0,0.7008,1.0122,0.7478,1.4019,2,0.0599
6,7,2450.0,0.6466,1.0093,0.7625,1.3109,1,0.0832
6,9,2958.0,0.8884,0.9155,0.58,2.178,5,0.3035
6,10,7101.0,0.709,0.9542,0.6686,1.418,6,0.1674
6,11,4323.0,0.8383,0.9595,0.6128,1.8343,3,0.2411
6,12,3307.0,0.802,0.9705,0.7202,1.6741,2,0.1995
6,14,5360.0,0.7392,0.9483,0.6872,1.4848,4,0.2717
6,15,2182.0,0.4948,1.0135,0.7656,1.1507,0,0.0437
6,16,3068.0,0.6427,1.0018,0.7666,1.3053,3,0.096
6,17,2317.0,0.489,1.0091,0.7426,1.1464,2,0.0572
6,18,3167.0,0.7681,0.9623,0.7033,1.5616,6,0.189
